Country,YearsWithThisDatabase,OtherDatabases,YearsWithThisTypeOfJob,JobTitle,OtherPeopleOnYourTeam,EmploymentStatus,EmploymentSector,Survey Year,PrimaryDatabase,ManageStaff,HowManyCompanies,Gender,Actual Salary,Predicted Salary
United States,10,"Microsoft SQL Server, Azure SQL DB",7,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,140000.0,116224.21
United States,2,"Microsoft SQL Server, MongoDB",2,DBA (Production Focus),1,Full time employee,State/province government,2018,Microsoft SQL Server,No,0,Male,80000.0,68744.516
United Kingdom,20,"Microsoft SQL Server, MySQL/MariaDB, DB2, Microsoft Access, Amazon RDS (any flavor), DynamoBD",20,Architect,0,Full time employee,Private business,2020,Microsoft SQL Server,Yes,1,Male,105000.0,82805.22
Australia,7,pervasive,7,Engineer,3,Full time employee,State/province government,2021,Microsoft SQL Server,No,1,Male,158400.0,91789.85
Sweden,15,MongoDB,2,DBA (General),0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,77000.0,70046.37
New Zealand,6,"Microsoft SQL Server, Azure SQL DB",4,Manager,0,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,103000.0,78484.09
United States,12,"Microsoft SQL Server, MySQL/MariaDB, Redis, Elasticsearch, Azure SQL DB",12,DBA (General),1,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,190000.0,113037.73
United States,20,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Microsoft Access",6,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,120000.0,129198.664
United States,3,Microsoft SQL Server,2,DBA (General),3,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,75700.0,79612.27
United States,15,Amazon RDS (any flavor),10,Engineer,0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Female,120000.0,123013.9
Canada,10,"MySQL/MariaDB, Microsoft Access",10,Developer: T-SQL,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,58000.0,62201.29
Saudi Arabia,8,"Microsoft SQL Server, Oracle, PostgreSQL",4,DBA (Production Focus),4,Full time employee,State/province government,2018,Microsoft SQL Server,No,0,Male,65000.0,66322.34
United States,4,Microsoft SQL Server,12,Engineer,6,Full time employee,Private business,2020,Azure SQL DB,Yes,0,Female,155000.0,152799.42
United Kingdom,7,"Microsoft SQL Server, Azure SQL DB (any flavor)",7,DBA (General),3,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,60000.0,58753.812
United States,24,"Oracle, Microsoft Access, SAP, Azure SQL DB, Amazon RDS (any flavor), FoxPro",24,DBA,0,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,90000.0,118164.86
United States,2,"MySQL/MariaDB, SQLite, Amazon RDS (any flavor), Redshift",4,Developer: BI,0,Full time employee,Private business,2018,PostgreSQL,No,0,Male,90000.0,80352.23
United States,11,"Microsoft SQL Server, Oracle, SAP HANA",3,DBA (General),1,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,140000.0,127607.85
France,20,"Microsoft SQL Server, HP Vertica",20,Architect,6,Full time employee,Private business,2018,Oracle,Yes,0,Female,87324.0,87009.08
United States,5,Microsoft SQL Server,5,DBA (Production Focus),6,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,98760.0,91594.78
Australia,5,"Microsoft Access, Azure SQL DB (any flavor)",5,DBA (General),0,Part time,Private business,2021,Microsoft SQL Server,No,1,Male,56500.0,77932.73
United States,8,SAP,2,Manager,1,Full time employee,Non-profit,2018,Microsoft SQL Server,Yes,0,Female,149000.0,102763.15
United States,20,"Microsoft SQL Server, Oracle, MongoDB, DB2, Microsoft Access, SQLite, Azure SQL DB (any flavor), CosmosDB, Sybase",5,Architect,0,Full time employee,Private business,2020,Microsoft SQL Server,Yes,1,Female,165000.0,131493.78
United States,5,"Microsoft SQL Server, MySQL/MariaDB",3,Analyst,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,70760.0,84029.81
United States,10,Microsoft SQL Server,4,Architect,0,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,125500.0,124895.836
United States,6,Azure SQL DB,6,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,134000.0,103049.06
Ukraine,5,"MySQL/MariaDB, Elasticsearch",3,DBA (General),1,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,18000.0,33738.582
United States,20,Microsoft Access,12,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,97000.0,115603.14
United States,30,"Microsoft SQL Server, PostgreSQL, SAP",25,DBA,0,Full time employee,Private business,2017,Oracle,No,0,Not Asked,120000.0,102455.875
United States,18,"MySQL/MariaDB, SQLite, Azure SQL DB",2,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,120000.0,130379.68
United States,8,"PostgreSQL, Microsoft Access, SQLite, Apache Derby, Elasticsearch",3,Other,0,Full time employee,Private business,2020,Microsoft SQL Server,Yes,2,Male,145000.0,130781.2
Australia,15,"MySQL/MariaDB, PostgreSQL, Microsoft Access",17,Analyst,1,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,65000.0,71749.22
United States,5,"Microsoft SQL Server, MySQL/MariaDB, Cache",30,DBA (Production Focus),1,Full time employee,Non-profit,2020,Other,Yes,0,Male,99350.0,118545.0
United States,20,Microsoft Access,20,DBA (Development Focus),0,Full time employee,Private business,2019,Microsoft SQL Server,Yes,1,Male,104000.0,112094.36
United States,15,"PostgreSQL, Microsoft Access, Elasticsearch",10,Manager,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,92000.0,115975.14
United States,18,"Microsoft SQL Server, MySQL/MariaDB",8,DBA (Production Focus),0,Full time employee,Private business,2020,Microsoft SQL Server,No,0,Male,130000.0,115889.57
United States,2,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, SQLite",2,Other,0,Full time employee,Non-profit,2020,Oracle,No,1,Male,67000.0,75410.78
United States,12,"Oracle, MySQL/MariaDB",8,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,105000.0,106957.195
South Africa,23,Microsoft SQL Server,23,Developer: T-SQL,2,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,96000.0,56099.023
United States,17,"Microsoft SQL Server, Oracle, Microsoft Access, Redis, Azure SQL DB",1,Architect,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,140000.0,125349.27
United States,4,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Microsoft Access, SQLite, SAP",4,Analyst,0,Full time employee,State/province government,2019,Microsoft SQL Server,No,1,Male,40000.0,86752.17
Romania,5,Azure SQL DB,5,Developer: App Code,1,Part time,Private business,2018,Microsoft SQL Server,Yes,0,Male,22140.0,8531.422
United States,10,"Microsoft SQL Server, Oracle, DB2",15,Developer: BI,5,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,85000.0,107554.88
United States,16,"Oracle, MySQL/MariaDB, PostgreSQL, Cassandra, Azure SQL DB, Amazon RDS (any flavor)",3,Engineer,5,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,146000.0,117497.52
Australia,4,Elasticsearch,1,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,75000.0,64546.918
United States,17,MySQL/MariaDB,17,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,80000.0,111029.04
United States,3,"MySQL/MariaDB, PostgreSQL, Microsoft Access",25,DBA (Production Focus),1,Full time employee,Non-profit,2018,Microsoft SQL Server,No,0,Male,85000.0,98282.78
United States,15,"Oracle, PostgreSQL, Microsoft Access",1,DBA (Production Focus),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,105000.0,109829.88
United States,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB",2,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,92000.0,97993.11
United Kingdom,10,MySQL/MariaDB,14,Engineer,0,Full time employee,"Education (K-12, college, university)",2019,Microsoft SQL Server,No,1,Male,36000.0,58663.504
United States,18,Azure SQL DB,17,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,Yes,0,Female,136500.0,109215.0
Russia,10,"MySQL/MariaDB, PostgreSQL, Google Spanner, Google Big Query",10,Developer: BI,0,Independent consultant,Private business,2018,Microsoft SQL Server,No,0,Male,30000.0,51160.08
Romania,5,"Oracle, SAP",3,DBA,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,24000.0,32436.555
Australia,17,Microsoft SQL Server,3,DBA,3,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,106000.0,86441.97
United Kingdom,4,Microsoft Access,1,Developer: BI,2,Full time employee,Local government,2018,Microsoft SQL Server,Yes,0,Male,47573.49,39008.645
United States,15,"Oracle, Microsoft Access",1,DBA,0,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,115000.0,113550.9
Germany,18,"Oracle, MySQL/MariaDB",10,Developer: T-SQL,0,Independent consultant,Private business,2019,Microsoft SQL Server,No,0,Male,70000.0,93298.49
Jersey,10,"Microsoft SQL Server, Microsoft Access",1,Analyst,2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,70000.0,62473.08
United States,8,Azure SQL DB (any flavor),8,DBA (General),0,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Female,92000.0,93951.34
United States,10,"Oracle, Microsoft Access",10,DBA,4,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,115000.0,107035.9
United States,8,Azure SQL DB,4,DBA,0,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,132000.0,111577.55
United States,4,Microsoft SQL Server,2,Developer: App Code,0,Full time employee,State/province government,2017,Microsoft SQL Server,Yes,0,Not Asked,59009.0,69140.7
United States,11,"Oracle, Microsoft Access, SQLite, Azure SQL DB (any flavor)",7,Architect,6,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,150000.0,128136.38
United States,15,"Oracle, Microsoft Access, SQLite",10,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,160000.0,119220.2
United States,4,"Microsoft Access, Azure SQL DB (any flavor), Amazon RDS (any flavor)",1,DBA (General),0,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,60000.0,76781.41
United States,9,"Microsoft SQL Server, Oracle, PostgreSQL, Azure SQL DB (any flavor)",9,DBA (Development Focus),0,Full time employee,Federal government,2020,Microsoft SQL Server,No,2,Male,106000.0,106801.35
United States,16,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB",4,Architect,0,Full time employee,Private business,2020,Microsoft SQL Server,Yes,6,Male,150000.0,144815.5
United States,8,"Microsoft SQL Server, Microsoft Access",2,Architect,0,Full time employee,Private business,2017,Oracle,Yes,0,Not Asked,118000.0,130066.98
United States,3,"Microsoft SQL Server, IBM Netezza (bleh)",5,Analyst,5,Full time employee,Non-profit,2021,Oracle,No,2,Male,90000.0,93339.125
United States,10,"MySQL/MariaDB, PostgreSQL",1,Architect,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,130000.0,120639.836
Netherlands,31,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, SQLite, Azure SQL DB",37,DBA,0,Independent consultant,Private business,2017,DB2,Yes,0,Not Asked,76650.0,92966.336
France,20,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, DB2, Sybase",11,Architect,2,Full time employee,Private business,2018,Oracle,Yes,0,Male,120000.0,90234.1
United States,12,Azure SQL DB,7,DBA,2,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,90000.0,104215.16
United States,20,"Elasticsearch, Azure SQL DB",5,Data Scientist,0,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,175000.0,136464.11
United States,3,"MySQL/MariaDB, PostgreSQL, Amazon RDS (any flavor)",1,Developer: BI,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,75000.0,73587.34
El Salvador,1,"Microsoft SQL Server, Oracle, MongoDB",1,Analyst,1,Full time employee,Private business,2017,PostgreSQL,No,0,Not Asked,20000.0,42003.188
United States,20,"Oracle, MySQL/MariaDB, PostgreSQL",14,DBA,4,Full time employee,Local government,2017,Microsoft SQL Server,No,0,Not Asked,120000.0,99012.43
Switzerland,10,"MySQL/MariaDB, TM1",4,Developer: BI,0,Full time employee,Private business,2017,Other,No,0,Not Asked,178000.0,115666.734
Puerto Rico,4,Microsoft SQL Server,4,DBA (General),1,Independent consultant,Local government,2021,Microsoft SQL Server,No,1,Male,78300.0,65885.78
United States,21,"Microsoft Access, Azure SQL DB",1,Architect,4,Consulting Full time employee,Federal government,2019,Microsoft SQL Server,No,0,Male,165000.0,152560.1
Sweden,15,Microsoft SQL Server,15,DBA (Production Focus),1,Full time employee,State/province government,2018,Microsoft SQL Server,No,0,Male,56000.0,74134.266
United States,20,"Microsoft SQL Server, MySQL/MariaDB, SQLite, CoachDB",24,DBA (General),1,Full time employee,State/province government,2020,Microsoft SQL Server,Yes,0,Female,97000.0,103116.984
United States,10,"Microsoft SQL Server, Oracle, DB2, Microsoft Access, SQLite, Azure SQL DB, Azure Sql Data Warehouse",3,Architect,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,150000.0,120562.73
United States,10,"PostgreSQL, Redis",15,Developer: App Code,2,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Prefer not to say,120000.0,114801.57
United States,7,"MySQL/MariaDB, Microsoft Access",7,Engineer,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,85000.0,91837.46
Spain,10,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, SQLite, Azure SQL DB (any flavor), Amazon RDS (any flavor)",6,DBA (Development Focus),0,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,39000.0,52175.67
United States,14,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, MongoDB, Cassandra, Azure SQL DB, Amazon RDS (any flavor), DynamoDB",15,Architect,1,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,136500.0,129998.336
United States,20,"Microsoft SQL Server, PostgreSQL, Microsoft Access, Amazon RDS (any flavor)",20,DBA (General),2,Full time employee,Private business,2021,Microsoft SQL Server,No,6,Male,127000.0,126347.08
Germany,14,"Oracle, MySQL/MariaDB, Azure SQL DB",5,DBA (Production Focus),2,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,76000.0,80018.125
United States,2,"Microsoft SQL Server, Azure SQL DB (any flavor)",2,Analyst,0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Female,70500.0,71380.55
United States,16,"Oracle, Microsoft Access",2,Developer: T-SQL,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,83000.0,106777.5
Poland,9,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Azure SQL DB",8,DBA (General),2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,36000.0,39736.137
United States,6,Microsoft Access,6,DBA (Development Focus),0,Full time employee,Local government,2018,Microsoft SQL Server,No,0,Male,95000.0,87572.62
United States,6,"MySQL/MariaDB, Microsoft Access, SQLite, Teradata, SAS ",4,Engineer,2,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Male,125000.0,99433.37
United States,13,FileMaker,1,Developer: App Code,3,Full time employee,"Education (K-12, college, university)",2018,Microsoft SQL Server,No,0,Male,75000.0,88540.75
United States,17,"PostgreSQL, Amazon RDS (any flavor)",3,Developer: T-SQL,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,108000.0,123496.44
United States,5,Microsoft SQL Server,4,DBA (Production Focus),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,100000.0,90216.05
Canada,14,"Microsoft SQL Server, MySQL/MariaDB",14,DBA (General),2,Full time employee,"Education (K-12, college, university)",2020,Microsoft SQL Server,No,2,Male,65700.0,64578.176
United Arab Emirates,8,"MySQL/MariaDB, PostgreSQL",8,DBA (Development Focus),4,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,41000.0,54164.3
United States,18,Microsoft SQL Server,4,DBA,0,Full time employee,Private business,2017,Other,No,0,Not Asked,94000.0,126335.95
United States,10,"Oracle, PostgreSQL, Amazon RDS (any flavor)",10,DBA (Production Focus),5,Full time employee,Private business,2021,Microsoft SQL Server,No,6,Male,140000.0,117938.016
United States,17,Microsoft Access,5,Developer: BI,1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,100000.0,105730.91
United States,7,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Citrix",7,DBA,4,Full time employee,Private business,2017,Oracle,No,0,Not Asked,87400.0,99644.734
United States,6,Microsoft SQL Server,5,Developer: T-SQL,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,65000.0,86560.77
United States,1,Microsoft SQL Server,1,Analyst,6,Full time employee,Non-profit,2019,Oracle,No,1,Male,70000.0,57807.152
United States,6,Microsoft Access,2,DBA (Development Focus),3,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,109000.0,88221.89
United States,16,MySQL/MariaDB,30,Developer: App Code,0,Independent consultant,Private business,2019,Microsoft SQL Server,No,0,Male,189000.0,155145.25
Netherlands,4,Oracle,1,DBA,3,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,47000.0,45520.71
South Africa,13,"DB2, Microsoft Access",4,Developer: BI,4,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,54500.0,50534.273
United States,8,MySQL/MariaDB,5,Engineer,2,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,89000.0,103470.21
United States,15,"Microsoft SQL Server, Azure SQL DB, Cosmos DB",15,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,125000.0,118091.83
United States,4,"Microsoft SQL Server, PostgreSQL, Snowflake",4,Developer: T-SQL,6,Full time employee,Private business,2020,Microsoft SQL Server,No,2,Female,116000.0,83441.17
United States,1,Azure SQL DB,1,DBA,1,Full time employee,State/province government,2017,Microsoft SQL Server,No,0,Not Asked,73000.0,85339.58
United Kingdom,25,Azure SQL DB (any flavor),4,Developer: BI,6,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,50000.0,78042.64
United States,22,"Oracle, Azure SQL DB (any flavor)",21,DBA (Production Focus),3,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,110000.0,123555.805
United States,11,MySQL/MariaDB,7,DBA (General),0,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,100000.0,106404.94
United States,15,"MySQL/MariaDB, MongoDB, Azure SQL DB",10,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,120000.0,108337.766
Saudi Arabia,13,Azure SQL DB,4,Engineer,6,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,117920.0,57412.246
Austria,10,Microsoft Access,10,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,64000.0,79495.57
United States,20,"Oracle, Microsoft Access",9,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,104000.0,110052.195
United States,25,Oracle,25,Engineer,4,Full time employee,Private business,2021,Microsoft SQL Server,No,6,Male,124000.0,119423.29
United States,8,Microsoft Access,6,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,80000.0,90583.48
United States,1,Microsoft Access,3,Developer: BI,1,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,54999.99999999999,71264.53
United States,20,MySQL/MariaDB,20,DBA,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,112000.0,113184.27
Norway,2,SAP,2,DBA,0,Consulting Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,90000.0,67350.95
United States,2,Oracle,2,Developer: App Code,0,Full time employee,"Education (K-12, college, university)",2018,Microsoft SQL Server,No,0,Male,56700.0,57385.094
United States,15,Oracle,4,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,87000.0,108260.88
United Kingdom,20,"MySQL/MariaDB, PostgreSQL",3,DBA (Production Focus),0,Independent consultant,Private business,2021,Microsoft SQL Server,No,0,Male,140000.0,100774.11
United States,3,"MongoDB, DB2",3,Engineer,2,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,54999.99999999999,96000.48
United States,3,"Microsoft SQL Server, PostgreSQL, Microsoft Access, Elasticsearch",1,Manager,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,120000.0,120222.68
United States,4,PostgreSQL,1,DBA (General),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,88000.0,80739.92
United States,13,"Oracle, MySQL/MariaDB, Microsoft Access",13,DBA (Production Focus),0,Full time employee,"Education (K-12, college, university)",2019,Microsoft SQL Server,No,1,Male,85000.0,87300.586
United States,6,"MySQL/MariaDB, Microsoft Access",1,DBA,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,82200.516
Brazil,10,"Oracle, MySQL/MariaDB, PostgreSQL",2,DBA (General),3,Consulting Full time employee,Private business,2020,Microsoft SQL Server,Yes,2,Male,30000.0,45643.004
United States,5,"PostgreSQL, SQLite",5,Analyst,4,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,125000.0,80806.4
United States,15,Oracle,18,Developer: App Code,0,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,108000.0,113910.08
United States,8,"Oracle, MySQL/MariaDB, MongoDB, Microsoft Access, Snowflake",1,Developer: BI,6,Consulting Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,90000.0,103078.22
Australia,5,Microsoft Access,3,Developer: T-SQL,3,Full time employee,State/province government,2017,Microsoft SQL Server,No,0,Not Asked,74500.0,65462.94
United States,11,Amazon RDS (any flavor),14,Developer: BI,3,Full time employee,Private business,2020,Oracle,No,0,Male,93000.0,127198.375
Australia,18,Microsoft SQL Server,6,DBA (General),1,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,88000.0,90038.945
United States,10,MongoDB,6,Engineer,6,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,101000.0,115191.17
United States,5,"MySQL/MariaDB, PostgreSQL",7,Analyst,4,Full time employee,Private business,2021,Amazon RDS (any flavor),No,0,Male,133000.0,108712.85
United States,3,"Microsoft SQL Server, Azure SQL DB (any flavor)",3,Other,1,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,94000.0,89743.086
United States,5,Analysis Services,7,Developer: BI,6,Full time employee,Private business,2020,Other,No,0,Male,118000.0,147281.25
Canada,24,"MySQL/MariaDB, PostgreSQL, MongoDB, Amazon RDS (any flavor)",2,Manager,6,Full time employee,Private business,2021,Microsoft SQL Server,Yes,1,Male,85185.0,102710.89
Canada,10,Oracle,3,Analyst,3,Full time employee,Federal government,2017,Microsoft SQL Server,No,0,Not Asked,50000.0,64438.26
United States,16,Microsoft SQL Server,16,Developer: App Code,5,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,104000.0,107553.26
United States,3,SQLite,3,Engineer,4,Full time employee,Private business,2020,Oracle,No,1,Male,88500.0,86169.65
United Kingdom,10,"Microsoft SQL Server, PostgreSQL, DB2, Azure SQL DB, Amazon RDS (any flavor)",5,Manager,3,Full time employee,Private business,2017,Microsoft SQL Server,Yes,0,Not Asked,67000.0,85812.28
United States,23,"Microsoft SQL Server, Oracle, MySQL/MariaDB",2,DBA (Production Focus),0,Full time employee,Local government,2020,Microsoft SQL Server,No,6,Male,83000.0,98522.07
United Kingdom,5,"Couch, Advantage, Informix",3,Developer: BI,0,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,60477.0,57049.496
United States,12,"Microsoft SQL Server, Oracle, DB2",11,DBA (Development Focus),0,Full time employee,Private business,2018,Microsoft SQL Server,No,0,Male,99800.0,106959.15
United States,18,"Microsoft SQL Server, Oracle, DB2, Microsoft Access",18,DBA (General),1,Full time employee,Non-profit,2019,Microsoft SQL Server,Yes,2,Male,106000.0,119471.6
Switzerland,15,"Microsoft SQL Server, Oracle, PostgreSQL, Azure SQL DB (any flavor), Amazon RDS (any flavor)",3,Analyst,0,Independent consultant,Private business,2021,Oracle,Yes,0,Male,180000.0,136311.8
United Kingdom,5,"Microsoft SQL Server, Microsoft Access",3,Developer: T-SQL,0,Full time employee,Private business,2021,Microsoft SQL Server,No,1,Male,33000.0,49925.074
Saudi Arabia,6,Oracle,1,DBA (Production Focus),2,Full time employee,Private business,2020,Microsoft SQL Server,Yes,2,Male,73000.0,47607.754
United States,1,Microsoft SQL Server,3,Analyst,0,Consulting Full time employee,Federal government,2017,Oracle,Yes,0,Not Asked,130000.0,93204.59
United States,6,"Oracle, MySQL/MariaDB, PostgreSQL, Microsoft Access, SQLite, Amazon RDS (any flavor)",18,DBA (General),2,Full time employee,"Education (K-12, college, university)",2018,Microsoft SQL Server,No,0,Male,92000.0,91812.164
United Kingdom,10,Microsoft Access,3,DBA (General),0,Full time employee,Local government,2018,Microsoft SQL Server,No,0,Male,54999.99999999999,52168.516
United States,18,"Microsoft SQL Server, Elasticsearch, Teradata",16,Engineer,1,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,156000.0,123128.6
Germany,18,"Microsoft SQL Server, Oracle, DB2, Azure SQL DB",18,Architect,5,Full time employee,Private business,2017,Microsoft SQL Server,No,0,Not Asked,100000.0,101291.5
United States,10,SQL Server on Azure VM,4,DBA (General),0,Full time employee,Private business,2021,Microsoft SQL Server,No,2,Male,90000.0,110731.53
United States,29,"MySQL/MariaDB, Microsoft Access, Pervasive",20,DBA (Production Focus),0,Full time employee,Private business,2019,Microsoft SQL Server,No,2,Male,104495.0,116074.85
United Kingdom,10,"Oracle, PostgreSQL, Microsoft Access",2,Analyst,3,Full time employee,Local government,2017,Microsoft SQL Server,No,0,Not Asked,47000.0,54154.145
United States,20,"Microsoft SQL Server, Oracle, Microsoft Access, Azure SQL DB (any flavor)",20,Architect,0,Independent consultant,Private business,2020,Microsoft SQL Server,No,6,Male,125000.0,146866.73
United Kingdom,18,"Oracle, Microsoft Access",1,Developer: App Code,1,Full time employee,Local government,2017,Microsoft SQL Server,No,0,Not Asked,35577.0,62531.3
United States,7,"Microsoft SQL Server, Oracle, PostgreSQL",7,DBA (General),6,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,105000.0,111571.43
Portugal,7,Microsoft SQL Server,7,DBA (Development Focus),3,Full time employee,Private business,2020,Microsoft SQL Server,No,1,Male,24000.0,35609.266
Brazil,10,"PostgreSQL, Azure SQL DB",14,Developer: T-SQL,1,Full time employee,Private business,2019,Microsoft SQL Server,No,0,Male,20000.0,37805.703
United States,15,"Microsoft SQL Server, Oracle, DB2, Microsoft Access, SAP, Azure SQL DB",4,Architect,3,Full time employee,Private business,2018,Microsoft SQL Server,Yes,0,Male,142000.0,134345.7
United States,1,"Microsoft SQL Server, MySQL/MariaDB, PostgreSQL, Microsoft Access, Amazon RDS (any flavor)",10,Engineer,1,Full time employee,Private business,2017,Other,No,0,Not Asked,140000.0,114530.79
United Kingdom,19,"Oracle, Microsoft Access, Azure SQL DB (any flavor), CosmosDB",19,DBA (Production Focus),1,Full time employee,State/province government,2021,Microsoft SQL Server,No,0,Male,68000.0,72005.164
Iceland,25,"Oracle, MySQL/MariaDB, PostgreSQL, SQLite, Azure SQL DB (any flavor), Amazon RDS (any flavor)",15,Architect,6,Full time employee,Private business,2021,Microsoft SQL Server,No,0,Male,95000.0,94652.805
